Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_line,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,strain_background
SRR3707574,RNA-Seq,75,277663125,PRJNA326388,SAMN05277597,176363731,MEL DS19,erythroleukemia cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1868562,GSM2209707,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-01-03T00:00:00Z,2016-06-21T11:04:00Z,1,GSM2209707,erythroleukemia cells,SRP076853,DS19
SRR3707575,RNA-Seq,75,280513875,PRJNA326388,SAMN05277597,173497490,MEL DS19,erythroleukemia cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1868562,GSM2209707,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-01-03T00:00:00Z,2016-06-21T11:05:00Z,1,GSM2209707,erythroleukemia cells,SRP076853,DS19
SRR3707576,RNA-Seq,75,282465750,PRJNA326388,SAMN05277597,171422673,MEL DS19,erythroleukemia cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1868562,GSM2209707,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-01-03T00:00:00Z,2016-06-21T11:05:00Z,1,GSM2209707,erythroleukemia cells,SRP076853,DS19
SRR3707577,RNA-Seq,75,284486175,PRJNA326388,SAMN05277597,166630081,MEL DS19,erythroleukemia cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1868562,GSM2209707,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-01-03T00:00:00Z,2016-06-21T11:05:00Z,1,GSM2209707,erythroleukemia cells,SRP076853,DS19
SRR3707578,RNA-Seq,75,283592175,PRJNA326388,SAMN05277597,166445258,MEL DS19,erythroleukemia cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1868562,GSM2209707,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-01-03T00:00:00Z,2016-06-21T11:06:00Z,1,GSM2209707,erythroleukemia cells,SRP076853,DS19
SRR3707579,RNA-Seq,75,280829775,PRJNA326388,SAMN05277597,169236360,MEL DS19,erythroleukemia cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1868562,GSM2209707,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-01-03T00:00:00Z,2016-06-21T11:05:00Z,1,GSM2209707,erythroleukemia cells,SRP076853,DS19
SRR3707580,RNA-Seq,75,200275425,PRJNA326388,SAMN05277597,124566520,MEL DS19,erythroleukemia cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1868562,GSM2209707,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-01-03T00:00:00Z,2016-06-21T11:05:00Z,1,GSM2209707,erythroleukemia cells,SRP076853,DS19
SRR3707581,RNA-Seq,75,278337675,PRJNA326388,SAMN05277598,175341462,MEL-R,HMA-resistant erythtoleukemia cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1868563,GSM2209708,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-01-03T00:00:00Z,2016-06-21T11:06:00Z,1,GSM2209708,erythroleukemia cells,SRP076853,DS19-derived
SRR3707582,RNA-Seq,75,282005625,PRJNA326388,SAMN05277598,171550779,MEL-R,HMA-resistant erythtoleukemia cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1868563,GSM2209708,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-01-03T00:00:00Z,2016-06-21T11:06:00Z,1,GSM2209708,erythroleukemia cells,SRP076853,DS19-derived
SRR3707583,RNA-Seq,75,284115300,PRJNA326388,SAMN05277598,165889520,MEL-R,HMA-resistant erythtoleukemia cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1868563,GSM2209708,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-01-03T00:00:00Z,2016-06-21T11:06:00Z,1,GSM2209708,erythroleukemia cells,SRP076853,DS19-derived
SRR3707584,RNA-Seq,75,281245200,PRJNA326388,SAMN05277598,168199239,MEL-R,HMA-resistant erythtoleukemia cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1868563,GSM2209708,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-01-03T00:00:00Z,2016-06-21T11:06:00Z,1,GSM2209708,erythroleukemia cells,SRP076853,DS19-derived
SRR3707585,RNA-Seq,75,127985325,PRJNA326388,SAMN05277598,79617287,MEL-R,HMA-resistant erythtoleukemia cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1868563,GSM2209708,Illumina Genome Analyzer,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-01-03T00:00:00Z,2016-06-21T11:05:00Z,1,GSM2209708,erythroleukemia cells,SRP076853,DS19-derived
